SERIE A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Miguel Kazan,Recife-PE,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,101.322,101654,,,,,332,"0,33%",-101.322,"-100,00%",,,https://www.instagram.com/miguelkazam/
TikTok,27.800,27900,,,,,100,"0,36%",-27.800,"-100,00%",,,https://www.tiktok.com/@miguel.kazan?is_from_webapp=1&sender_device=pc
X,2.856,2.846,,,,,-10,"-0,35%",-2.856,"-100,00%",,,https://x.com/MiguelKazan
Youtube,1.250,1260,,,,,10,"0,80%",-1.250,"-100,00%",,,https://www.youtube.com/@miguelkazans
Kawai,133,134,,,,,1,"0,75%",-133,"-100,00%",,,https://k.kwai.com/u/@fhyvo984/6ykzCuvy
Total,133.361,133.794,0,0,0,0,433,"0,32%",-133.361,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Asafe,,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,20.658,21636,,,,,978,"4,73%",-20.658,"-100,00%",,,https://www.instagram.com/asafe.pe/
TikTok,10.500,10800,,,,,300,"2,86%",-10.500,"-100,00%",,,https://www.tiktok.com/@asafe.pe
X,328,322,,,,,-6,"-1,83%",-328,"-100,00%",,,https://x.com/asafepe14
Youtube,499,504,,,,,5,"1,00%",-499,"-100,00%",,,https://www.youtube.com/@asafepe
Kawai,431,438,,,,,7,"1,62%",-431,"-100,00%",,,https://kwai-video.com/u/@asafe.pe/gYAcofC1
Total,32.416,33.700,0,0,0,0,1.284,"3,96%",-32.416,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Xande,,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,6.943,7.319,,,,,376,"5,42%",-6.943,"-100,00%",,,https://www.instagram.com/xandepessoape/
TikTok,4.360,4436,,,,,76,"1,74%",-4.360,"-100,00%",,,https://www.tiktok.com/@xandepessoape?lang=pt
X,878,895,,,,,17,"1,94%",-878,"-100,00%",,,https://x.com/XandePessoaPE
Youtube,448,450,,,,,2,"0,45%",-448,"-100,00%",,,https://www.youtube.com/@xandepessoape
Kawai,1.100,1100,,,,,0,"0,00%",-1.100,"-100,00%",,,https://kwai-video.com/u/@xandepessoape/CVrHnCZZ
Total,13.729,14.200,0,0,0,0,471,"3,43%",-13.729,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Mikael,,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,5.676,5.670,,,,,-6,"-0,11%",-5.676,"-100,00%",,,https://www.instagram.com/mikaelgringope/
TikTok,1.841,1843,,,,,2,"0,11%",-1.841,"-100,00%",,,https://www.tiktok.com/@mikaelgringope?lang=pt
